STATE/UT,YEAR,DEMOGRAPHIC PARTICULARS,Male Convicts,Female Convicts,Total Convicts,Male Under trial,Female Under trial,Total Under trial,Male Detenues,Female Detenues,Total Detenues,Male Others,Female Others,Total Others,Total Male,Total Female,Grand Total
ANDHRA PRADESH,2008,Educational Standard,5155,223,5378,8018,651,8669,21,0,21,12,0,12,13206,874,14080
ANDHRA PRADESH,2008,Educational Standard - Illiterate,1370,144,1514,2820,458,3278,5,0,5,4,0,4,4199,602,4801
ANDHRA PRADESH,2008,Educational Standard - Below Class X,2489,55,2544,3640,150,3790,5,0,5,5,0,5,6139,205,6344
ANDHRA PRADESH,2008,Educational Standard - Class X and above but below graduate,832,14,846,1190,38,1228,9,0,9,3,0,3,2034,52,2086
ANDHRA PRADESH,2008,Educational Standard - Graduate,323,8,331,238,4,242,2,0,2,0,0,0,563,12,575
ANDHRA PRADESH,2008,Educational Standard - Post-Graduate,100,1,101,42,0,42,0,0,0,0,0,0,142,1,143
ANDHRA PRADESH,2008,Educational Standard - Holding technical degree/diploma etc,41,1,42,88,1,89,0,0,0,0,0,0,129,2,131
ANDHRA PRADESH,2009,Educational Standard,4339,197,4536,7640,577,8217,38,2,40,15,0,15,12032,776,12808
ANDHRA PRADESH,2009,Educational Standard - Illiterate,1079,108,1187,2825,378,3203,2,1,3,4,0,4,3910,487,4397
ANDHRA PRADESH,2009,Educational Standard - Below Class X,2073,58,2131,2926,143,3069,29,1,30,11,0,11,5039,202,5241
ANDHRA PRADESH,2009,Educational Standard - Class X and above but below graduate,799,16,815,1218,45,1263,7,0,7,0,0,0,2024,61,2085
ANDHRA PRADESH,2009,Educational Standard - Graduate,286,13,299,447,6,453,0,0,0,0,0,0,733,19,752
ANDHRA PRADESH,2009,Educational Standard - Post-Graduate,76,2,78,110,3,113,0,0,0,0,0,0,186,5,191
ANDHRA PRADESH,2009,Educational Standard - Holding technical degree/diploma etc,26,0,26,114,2,116,0,0,0,0,0,0,140,2,142
ANDHRA PRADESH,2010,Educational Standard,4567,231,4798,7103,546,7649,28,2,30,13,0,13,11711,779,12490
ANDHRA PRADESH,2010,Educational Standard - Illiterate,1638,127,1765,2693,356,3049,5,2,7,7,0,7,4343,485,4828
ANDHRA PRADESH,2010,Educational Standard - Below Class X,1546,77,1623,2923,151,3074,21,0,21,5,0,5,4495,228,4723
ANDHRA PRADESH,2010,Educational Standard - Class X and above but below graduate,786,22,808,1030,28,1058,0,0,0,0,0,0,1816,50,1866
ANDHRA PRADESH,2010,Educational Standard - Graduate,387,4,391,261,8,269,0,0,0,0,0,0,648,12,660
ANDHRA PRADESH,2010,Educational Standard - Post-Graduate,100,1,101,52,2,54,0,0,0,0,0,0,152,3,155
ANDHRA PRADESH,2010,Educational Standard - Holding technical degree/diploma etc,110,0,110,144,1,145,2,0,2,1,0,1,257,1,258
ANDHRA PRADESH,2011,Educational Standard,4377,261,4638,7964,580,8544,13,1,14,17,0,17,12371,842,13213
ANDHRA PRADESH,2011,Educational Standard - Illiterate,1579,191,1770,2562,371,2933,2,1,3,2,0,2,4145,563,4708
ANDHRA PRADESH,2011,Educational Standard - Below Class X,1660,40,1700,3682,165,3847,9,0,9,13,0,13,5364,205,5569
ANDHRA PRADESH,2011,Educational Standard - Class X and above but below graduate,803,27,830,1264,37,1301,2,0,2,2,0,2,2071,64,2135
ANDHRA PRADESH,2011,Educational Standard - Graduate,196,2,198,294,6,300,0,0,0,0,0,0,490,8,498
ANDHRA PRADESH,2011,Educational Standard - Post-Graduate,48,1,49,78,1,79,0,0,0,0,0,0,126,2,128
ANDHRA PRADESH,2011,Educational Standard - Holding technical degree/diploma etc,91,0,91,84,0,84,0,0,0,0,0,0,175,0,175
ANDHRA PRADESH,2012,Educational Standard,4437,285,4722,7914,637,8551,3,1,4,7,1,8,12361,924,13285
ANDHRA PRADESH,2012,Educational Standard - Illiterate,1506,215,1721,2556,432,2988,0,1,1,0,1,1,4062,649,4711
ANDHRA PRADESH,2012,Educational Standard - Below Class X,1699,51,1750,3295,157,3452,1,0,1,5,0,5,5000,208,5208
ANDHRA PRADESH,2012,Educational Standard - Class X and above but below graduate,795,14,809,1363,39,1402,2,0,2,2,0,2,2162,53,2215
ANDHRA PRADESH,2012,Educational Standard - Graduate,313,4,317,422,7,429,0,0,0,0,0,0,735,11,746
ANDHRA PRADESH,2012,Educational Standard - Post-Graduate,63,1,64,144,1,145,0,0,0,0,0,0,207,2,209
ANDHRA PRADESH,2012,Educational Standard - Holding technical degree/diploma etc,61,0,61,134,1,135,0,0,0,0,0,0,195,1,196
ARUNACHAL PRADESH,2009,Educational Standard,2,0,2,56,4,60,0,0,0,0,0,0,58,4,62
ARUNACHAL PRADESH,2009,Educational Standard - Illiterate,0,0,0,16,3,19,0,0,0,0,0,0,16,3,19
ARUNACHAL PRADESH,2009,Educational Standard - Below Class X,1,0,1,28,0,28,0,0,0,0,0,0,29,0,29
ARUNACHAL PRADESH,2009,Educational Standard - Class X and above but below graduate,0,0,0,11,1,12,0,0,0,0,0,0,11,1,12
ARUNACHAL PRADESH,2009,Educational Standard - Graduate,1,0,1,1,0,1,0,0,0,0,0,0,2,0,2
ARUNACHAL PRADESH,2009,Educational Standard - Post-Graduate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2009,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2010,Educational Standard,5,0,5,48,4,52,0,0,0,0,0,0,53,4,57
ARUNACHAL PRADESH,2010,Educational Standard - Illiterate,2,0,2,7,1,8,0,0,0,0,0,0,9,1,10
ARUNACHAL PRADESH,2010,Educational Standard - Below Class X,1,0,1,32,1,33,0,0,0,0,0,0,33,1,34
ARUNACHAL PRADESH,2010,Educational Standard - Class X and above but below graduate,1,0,1,8,2,10,0,0,0,0,0,0,9,2,11
ARUNACHAL PRADESH,2010,Educational Standard - Graduate,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
ARUNACHAL PRADESH,2010,Educational Standard - Post-Graduate,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
ARUNACHAL PRADESH,2010,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2011,Educational Standard,6,0,6,44,5,49,0,0,0,0,0,0,50,5,55
ARUNACHAL PRADESH,2011,Educational Standard - Illiterate,0,0,0,14,2,16,0,0,0,0,0,0,14,2,16
ARUNACHAL PRADESH,2011,Educational Standard - Below Class X,5,0,5,26,2,28,0,0,0,0,0,0,31,2,33
ARUNACHAL PRADESH,2011,Educational Standard - Class X and above but below graduate,0,0,0,3,1,4,0,0,0,0,0,0,3,1,4
ARUNACHAL PRADESH,2011,Educational Standard - Graduate,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
ARUNACHAL PRADESH,2011,Educational Standard - Post-Graduate,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
ARUNACHAL PRADESH,2011,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2012,Educational Standard,4,0,4,63,4,67,0,0,0,0,0,0,67,4,71
ARUNACHAL PRADESH,2012,Educational Standard - Illiterate,0,0,0,24,2,26,0,0,0,0,0,0,24,2,26
ARUNACHAL PRADESH,2012,Educational Standard - Below Class X,4,0,4,25,2,27,0,0,0,0,0,0,29,2,31
