STATE/UT,YEAR,DEMOGRAPHIC PARTICULARS,Male Convicts,Female Convicts,Total Convicts,Male Under trial,Female Under trial,Total Under trial,Male Detenues,Female Detenues,Total Detenues,Male Others,Female Others,Total Others,Total Male,Total Female,Grand Total
HARYANA,2009,Educational Standard,5528,264,5792,7687,354,8041,0,0,0,4,0,4,13219,618,13837
HARYANA,2009,Educational Standard - Illiterate,1655,86,1741,2155,106,2261,0,0,0,0,0,0,3810,192,4002
HARYANA,2009,Educational Standard - Below Class X,2248,87,2335,2943,149,3092,0,0,0,4,0,4,5195,236,5431
HARYANA,2009,Educational Standard - Class X and above but below graduate,1311,85,1396,2069,72,2141,0,0,0,0,0,0,3380,157,3537
HARYANA,2009,Educational Standard - Graduate,233,4,237,341,20,361,0,0,0,0,0,0,574,24,598
HARYANA,2009,Educational Standard - Post-Graduate,56,2,58,118,6,124,0,0,0,0,0,0,174,8,182
HARYANA,2009,Educational Standard - Holding technical degree/diploma etc,25,0,25,61,1,62,0,0,0,0,0,0,86,1,87
HARYANA,2010,Educational Standard,5966,245,6211,7658,350,8008,0,0,0,0,0,0,13624,595,14219
HARYANA,2010,Educational Standard - Illiterate,1600,92,1692,1914,112,2026,0,0,0,0,0,0,3514,204,3718
HARYANA,2010,Educational Standard - Below Class X,2504,90,2594,3217,120,3337,0,0,0,0,0,0,5721,210,5931
HARYANA,2010,Educational Standard - Class X and above but below graduate,1466,53,1519,1952,97,2049,0,0,0,0,0,0,3418,150,3568
HARYANA,2010,Educational Standard - Graduate,282,8,290,398,19,417,0,0,0,0,0,0,680,27,707
HARYANA,2010,Educational Standard - Post-Graduate,75,2,77,109,2,111,0,0,0,0,0,0,184,4,188
HARYANA,2010,Educational Standard - Holding technical degree/diploma etc,39,0,39,68,0,68,0,0,0,0,0,0,107,0,107
HARYANA,2011,Educational Standard,6244,285,6529,8118,385,8503,0,0,0,1,0,1,14363,670,15033
HARYANA,2011,Educational Standard - Illiterate,1713,158,1871,2152,192,2344,0,0,0,0,0,0,3865,350,4215
HARYANA,2011,Educational Standard - Below Class X,2597,47,2644,3192,125,3317,0,0,0,1,0,1,5790,172,5962
HARYANA,2011,Educational Standard - Class X and above but below graduate,1533,66,1599,2145,51,2196,0,0,0,0,0,0,3678,117,3795
HARYANA,2011,Educational Standard - Graduate,294,10,304,449,12,461,0,0,0,0,0,0,743,22,765
HARYANA,2011,Educational Standard - Post-Graduate,70,4,74,105,4,109,0,0,0,0,0,0,175,8,183
HARYANA,2011,Educational Standard - Holding technical degree/diploma etc,37,0,37,75,1,76,0,0,0,0,0,0,112,1,113
HARYANA,2012,Educational Standard,6411,290,6701,9791,460,10251,0,0,0,0,0,0,16202,750,16952
HARYANA,2012,Educational Standard - Illiterate,1561,140,1701,2332,189,2521,0,0,0,0,0,0,3893,329,4222
HARYANA,2012,Educational Standard - Below Class X,2637,98,2735,4169,154,4323,0,0,0,0,0,0,6806,252,7058
HARYANA,2012,Educational Standard - Class X and above but below graduate,1775,36,1811,2512,88,2600,0,0,0,0,0,0,4287,124,4411
HARYANA,2012,Educational Standard - Graduate,324,10,334,498,24,522,0,0,0,0,0,0,822,34,856
HARYANA,2012,Educational Standard - Post-Graduate,68,3,71,108,2,110,0,0,0,0,0,0,176,5,181
HARYANA,2012,Educational Standard - Holding technical degree/diploma etc,46,3,49,172,3,175,0,0,0,0,0,0,218,6,224
HIMACHAL PRADESH,2001,Educational Standard,384,11,395,497,15,512,0,0,0,0,0,0,881,26,907
HIMACHAL PRADESH,2001,Educational Standard - Illiterate,184,7,191,198,9,207,0,0,0,0,0,0,382,16,398
HIMACHAL PRADESH,2001,Educational Standard - Below Class X,80,2,82,120,4,124,0,0,0,0,0,0,200,6,206
HIMACHAL PRADESH,2001,Educational Standard - Class X and above but below graduate,68,1,69,125,1,126,0,0,0,0,0,0,193,2,195
HIMACHAL PRADESH,2001,Educational Standard - Graduate,46,1,47,50,1,51,0,0,0,0,0,0,96,2,98
HIMACHAL PRADESH,2001,Educational Standard - Post-Graduate,6,0,6,4,0,4,0,0,0,0,0,0,10,0,10
HIMACHAL PRADESH,2001,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2002,Educational Standard,412,7,419,458,20,478,0,0,0,0,0,0,870,27,897
HIMACHAL PRADESH,2002,Educational Standard - Illiterate,86,4,90,94,9,103,0,0,0,0,0,0,180,13,193
HIMACHAL PRADESH,2002,Educational Standard - Below Class X,244,3,247,194,8,202,0,0,0,0,0,0,438,11,449
HIMACHAL PRADESH,2002,Educational Standard - Class X and above but below graduate,67,0,67,149,1,150,0,0,0,0,0,0,216,1,217
HIMACHAL PRADESH,2002,Educational Standard - Graduate,9,0,9,19,2,21,0,0,0,0,0,0,28,2,30
HIMACHAL PRADESH,2002,Educational Standard - Post-Graduate,5,0,5,1,0,1,0,0,0,0,0,0,6,0,6
HIMACHAL PRADESH,2002,Educational Standard - Holding technical degree/diploma etc,1,0,1,1,0,1,0,0,0,0,0,0,2,0,2
HIMACHAL PRADESH,2003,Educational Standard,464,12,476,483,19,502,0,0,0,0,0,0,947,31,978
HIMACHAL PRADESH,2003,Educational Standard - Illiterate,40,3,43,84,6,90,0,0,0,0,0,0,124,9,133
HIMACHAL PRADESH,2003,Educational Standard - Below Class X,340,8,348,298,9,307,0,0,0,0,0,0,638,17,655
HIMACHAL PRADESH,2003,Educational Standard - Class X and above but below graduate,68,1,69,87,4,91,0,0,0,0,0,0,155,5,160
HIMACHAL PRADESH,2003,Educational Standard - Graduate,8,0,8,11,0,11,0,0,0,0,0,0,19,0,19
HIMACHAL PRADESH,2003,Educational Standard - Post-Graduate,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
HIMACHAL PRADESH,2003,Educational Standard - Holding technical degree/diploma etc,5,0,5,3,0,3,0,0,0,0,0,0,8,0,8
HIMACHAL PRADESH,2004,Educational Standard,540,17,557,468,19,487,0,0,0,0,0,0,1008,36,1044
HIMACHAL PRADESH,2004,Educational Standard - Illiterate,43,2,45,80,10,90,0,0,0,0,0,0,123,12,135
HIMACHAL PRADESH,2004,Educational Standard - Below Class X,258,11,269,250,7,257,0,0,0,0,0,0,508,18,526
HIMACHAL PRADESH,2004,Educational Standard - Class X and above but below graduate,227,4,231,121,2,123,0,0,0,0,0,0,348,6,354
HIMACHAL PRADESH,2004,Educational Standard - Graduate,7,0,7,16,0,16,0,0,0,0,0,0,23,0,23
HIMACHAL PRADESH,2004,Educational Standard - Post-Graduate,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5
HIMACHAL PRADESH,2004,Educational Standard - Holding technical degree/diploma etc,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
HIMACHAL PRADESH,2005,Educational Standard,614,18,632,520,16,536,0,0,0,0,0,0,1134,34,1168
HIMACHAL PRADESH,2005,Educational Standard - Illiterate,108,7,115,148,9,157,0,0,0,0,0,0,256,16,272
HIMACHAL PRADESH,2005,Educational Standard - Below Class X,316,7,323,221,2,223,0,0,0,0,0,0,537,9,546
HIMACHAL PRADESH,2005,Educational Standard - Class X and above but below graduate,156,4,160,119,5,124,0,0,0,0,0,0,275,9,284
HIMACHAL PRADESH,2005,Educational Standard - Graduate,26,0,26,32,0,32,0,0,0,0,0,0,58,0,58
HIMACHAL PRADESH,2005,Educational Standard - Post-Graduate,8,0,8,0,0,0,0,0,0,0,0,0,8,0,8
HIMACHAL PRADESH,2005,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2006,Educational Standard,740,24,764,551,21,572,0,0,0,0,0,0,1291,45,1336
HIMACHAL PRADESH,2006,Educational Standard - Illiterate,92,9,101,144,14,158,0,0,0,0,0,0,236,23,259
HIMACHAL PRADESH,2006,Educational Standard - Below Class X,332,15,347,209,5,214,0,0,0,0,0,0,541,20,561
HIMACHAL PRADESH,2006,Educational Standard - Class X and above but below graduate,290,0,290,178,2,180,0,0,0,0,0,0,468,2,470
HIMACHAL PRADESH,2006,Educational Standard - Graduate,20,0,20,13,0,13,0,0,0,0,0,0,33,0,33
HIMACHAL PRADESH,2006,Educational Standard - Post-Graduate,6,0,6,5,0,5,0,0,0,0,0,0,11,0,11
HIMACHAL PRADESH,2006,Educational Standard - Holding technical degree/diploma etc,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
HIMACHAL PRADESH,2007,Educational Standard,838,37,875,536,24,560,0,0,0,0,0,0,1374,61,1435
HIMACHAL PRADESH,2007,Educational Standard - Illiterate,80,18,98,85,11,96,0,0,0,0,0,0,165,29,194
HIMACHAL PRADESH,2007,Educational Standard - Below Class X,420,7,427,239,9,248,0,0,0,0,0,0,659,16,675
HIMACHAL PRADESH,2007,Educational Standard - Class X and above but below graduate,313,12,325,205,4,209,0,0,0,0,0,0,518,16,534
HIMACHAL PRADESH,2007,Educational Standard - Graduate,22,0,22,7,0,7,0,0,0,0,0,0,29,0,29
HIMACHAL PRADESH,2007,Educational Standard - Post-Graduate,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
HIMACHAL PRADESH,2007,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2008,Educational Standard,858,32,890,552,26,578,0,0,0,0,0,0,1410,58,1468
HIMACHAL PRADESH,2008,Educational Standard - Illiterate,207,19,226,136,10,146,0,0,0,0,0,0,343,29,372
HIMACHAL PRADESH,2008,Educational Standard - Below Class X,205,11,216,215,7,222,0,0,0,0,0,0,420,18,438
HIMACHAL PRADESH,2008,Educational Standard - Class X and above but below graduate,392,2,394,164,5,169,0,0,0,0,0,0,556,7,563
HIMACHAL PRADESH,2008,Educational Standard - Graduate,42,0,42,28,4,32,0,0,0,0,0,0,70,4,74
HIMACHAL PRADESH,2008,Educational Standard - Post-Graduate,7,0,7,4,0,4,0,0,0,0,0,0,11,0,11
HIMACHAL PRADESH,2008,Educational Standard - Holding technical degree/diploma etc,5,0,5,5,0,5,0,0,0,0,0,0,10,0,10
HIMACHAL PRADESH,2009,Educational Standard,807,35,842,695,17,712,0,0,0,0,0,0,1502,52,1554
HIMACHAL PRADESH,2009,Educational Standard - Illiterate,172,20,192,128,7,135,0,0,0,0,0,0,300,27,327
HIMACHAL PRADESH,2009,Educational Standard - Below Class X,384,11,395,348,7,355,0,0,0,0,0,0,732,18,750
HIMACHAL PRADESH,2009,Educational Standard - Class X and above but below graduate,218,3,221,204,3,207,0,0,0,0,0,0,422,6,428
HIMACHAL PRADESH,2009,Educational Standard - Graduate,27,1,28,14,0,14,0,0,0,0,0,0,41,1,42
HIMACHAL PRADESH,2009,Educational Standard - Post-Graduate,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
HIMACHAL PRADESH,2009,Educational Standard - Holding technical degree/diploma etc,2,0,2,1,0,1,0,0,0,0,0,0,3,0,3
HIMACHAL PRADESH,2010,Educational Standard,935,27,962,600,23,623,0,0,0,0,0,0,1535,50,1585
HIMACHAL PRADESH,2010,Educational Standard - Illiterate,181,27,208,84,11,95,0,0,0,0,0,0,265,38,303
HIMACHAL PRADESH,2010,Educational Standard - Below Class X,452,0,452,236,9,245,0,0,0,0,0,0,688,9,697
HIMACHAL PRADESH,2010,Educational Standard - Class X and above but below graduate,262,0,262,260,3,263,0,0,0,0,0,0,522,3,525
HIMACHAL PRADESH,2010,Educational Standard - Graduate,33,0,33,17,0,17,0,0,0,0,0,0,50,0,50
HIMACHAL PRADESH,2010,Educational Standard - Post-Graduate,5,0,5,2,0,2,0,0,0,0,0,0,7,0,7
HIMACHAL PRADESH,2010,Educational Standard - Holding technical degree/diploma etc,2,0,2,1,0,1,0,0,0,0,0,0,3,0,3
HIMACHAL PRADESH,2011,Educational Standard,913,29,942,632,33,665,0,0,0,0,0,0,1545,62,1607
HIMACHAL PRADESH,2011,Educational Standard - Illiterate,187,20,207,74,11,85,0,0,0,0,0,0,261,31,292
HIMACHAL PRADESH,2011,Educational Standard - Below Class X,430,3,433,343,12,355,0,0,0,0,0,0,773,15,788
HIMACHAL PRADESH,2011,Educational Standard - Class X and above but below graduate,261,5,266,177,9,186,0,0,0,0,0,0,438,14,452
HIMACHAL PRADESH,2011,Educational Standard - Graduate,24,1,25,32,0,32,0,0,0,0,0,0,56,1,57
HIMACHAL PRADESH,2011,Educational Standard - Post-Graduate,8,0,8,2,0,2,0,0,0,0,0,0,10,0,10
HIMACHAL PRADESH,2011,Educational Standard - Holding technical degree/diploma etc,3,0,3,4,1,5,0,0,0,0,0,0,7,1,8
HIMACHAL PRADESH,2012,Educational Standard,916,36,952,727,37,764,0,0,0,0,0,0,1643,73,1716
HIMACHAL PRADESH,2012,Educational Standard - Illiterate,197,19,216,122,18,140,0,0,0,0,0,0,319,37,356
HIMACHAL PRADESH,2012,Educational Standard - Below Class X,410,6,416,315,10,325,0,0,0,0,0,0,725,16,741
HIMACHAL PRADESH,2012,Educational Standard - Class X and above but below graduate,269,10,279,253,8,261,0,0,0,0,0,0,522,18,540
HIMACHAL PRADESH,2012,Educational Standard - Graduate,31,1,32,22,1,23,0,0,0,0,0,0,53,2,55
HIMACHAL PRADESH,2012,Educational Standard - Post-Graduate,4,0,4,1,0,1,0,0,0,0,0,0,5,0,5
HIMACHAL PRADESH,2012,Educational Standard - Holding technical degree/diploma etc,5,0,5,14,0,14,0,0,0,0,0,0,19,0,19
JAMMU & KASHMIR,2001,Educational Standard,118,5,123,1072,33,1105,414,2,416,3,0,3,1607,40,1647
JAMMU & KASHMIR,2001,Educational Standard - Illiterate,32,5,37,334,18,352,70,2,72,3,0,3,439,25,464
JAMMU & KASHMIR,2001,Educational Standard - Below Class X,75,0,75,467,11,478,178,0,178,0,0,0,720,11,731
JAMMU & KASHMIR,2001,Educational Standard - Class X and above but below graduate,9,0,9,257,3,260,146,0,146,0,0,0,412,3,415
JAMMU & KASHMIR,2001,Educational Standard - Graduate,2,0,2,13,1,14,20,0,20,0,0,0,35,1,36
JAMMU & KASHMIR,2001,Educational Standard - Post-Graduate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2001,Educational Standard - Holding technical degree/diploma etc,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
JAMMU & KASHMIR,2002,Educational Standard,126,3,129,1183,46,1229,443,1,444,1,0,1,1753,50,1803
JAMMU & KASHMIR,2002,Educational Standard - Illiterate,37,3,40,373,28,401,117,1,118,1,0,1,528,32,560
JAMMU & KASHMIR,2002,Educational Standard - Below Class X,67,0,67,486,13,499,215,0,215,0,0,0,768,13,781
JAMMU & KASHMIR,2002,Educational Standard - Class X and above but below graduate,16,0,16,276,3,279,80,0,80,0,0,0,372,3,375
JAMMU & KASHMIR,2002,Educational Standard - Graduate,3,0,3,33,2,35,5,0,5,0,0,0,41,2,43
JAMMU & KASHMIR,2002,Educational Standard - Post-Graduate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2002,Educational Standard - Holding technical degree/diploma etc,3,0,3,15,0,15,26,0,26,0,0,0,44,0,44
JAMMU & KASHMIR,2003,Educational Standard,167,1,168,1266,64,1330,397,0,397,0,0,0,1830,65,1895
JAMMU & KASHMIR,2003,Educational Standard - Illiterate,22,1,23,168,29,197,6,0,6,0,0,0,196,30,226
JAMMU & KASHMIR,2003,Educational Standard - Below Class X,87,0,87,844,26,870,83,0,83,0,0,0,1014,26,1040
JAMMU & KASHMIR,2003,Educational Standard - Class X and above but below graduate,53,0,53,163,7,170,297,0,297,0,0,0,513,7,520
JAMMU & KASHMIR,2003,Educational Standard - Graduate,5,0,5,86,2,88,9,0,9,0,0,0,100,2,102
JAMMU & KASHMIR,2003,Educational Standard - Post-Graduate,0,0,0,5,0,5,2,0,2,0,0,0,7,0,7
JAMMU & KASHMIR,2003,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2004,Educational Standard,195,5,200,1334,53,1387,449,2,451,1,0,1,1979,60,2039
JAMMU & KASHMIR,2004,Educational Standard - Illiterate,66,4,70,383,44,427,135,1,136,1,0,1,585,49,634
JAMMU & KASHMIR,2004,Educational Standard - Below Class X,51,1,52,579,7,586,148,0,148,0,0,0,778,8,786
JAMMU & KASHMIR,2004,Educational Standard - Class X and above but below graduate,72,0,72,341,2,343,153,1,154,0,0,0,566,3,569
JAMMU & KASHMIR,2004,Educational Standard - Graduate,5,0,5,24,0,24,9,0,9,0,0,0,38,0,38
JAMMU & KASHMIR,2004,Educational Standard - Post-Graduate,1,0,1,4,0,4,2,0,2,0,0,0,7,0,7
JAMMU & KASHMIR,2004,Educational Standard - Holding technical degree/diploma etc,0,0,0,3,0,3,2,0,2,0,0,0,5,0,5
JAMMU & KASHMIR,2005,Educational Standard,211,10,221,1482,57,1539,373,4,377,0,0,0,2066,71,2137
JAMMU & KASHMIR,2005,Educational Standard - Illiterate,80,5,85,438,42,480,123,4,127,0,0,0,641,51,692
JAMMU & KASHMIR,2005,Educational Standard - Below Class X,90,5,95,607,11,618,75,0,75,0,0,0,772,16,788
JAMMU & KASHMIR,2005,Educational Standard - Class X and above but below graduate,37,0,37,395,4,399,154,0,154,0,0,0,586,4,590
JAMMU & KASHMIR,2005,Educational Standard - Graduate,3,0,3,32,0,32,18,0,18,0,0,0,53,0,53
JAMMU & KASHMIR,2005,Educational Standard - Post-Graduate,0,0,0,10,0,10,2,0,2,0,0,0,12,0,12
JAMMU & KASHMIR,2005,Educational Standard - Holding technical degree/diploma etc,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2
JAMMU & KASHMIR,2006,Educational Standard,255,9,264,1585,49,1634,368,1,369,3,0,3,2211,59,2270
JAMMU & KASHMIR,2006,Educational Standard - Illiterate,108,7,115,477,40,517,132,0,132,3,0,3,720,47,767
JAMMU & KASHMIR,2006,Educational Standard - Below Class X,96,2,98,660,7,667,126,0,126,0,0,0,882,9,891
JAMMU & KASHMIR,2006,Educational Standard - Class X and above but below graduate,47,0,47,393,2,395,97,1,98,0,0,0,537,3,540
JAMMU & KASHMIR,2006,Educational Standard - Graduate,3,0,3,45,0,45,6,0,6,0,0,0,54,0,54
JAMMU & KASHMIR,2006,Educational Standard - Post-Graduate,0,0,0,4,0,4,3,0,3,0,0,0,7,0,7
JAMMU & KASHMIR,2006,Educational Standard - Holding technical degree/diploma etc,1,0,1,6,0,6,4,0,4,0,0,0,11,0,11
JAMMU & KASHMIR,2007,Educational Standard,285,7,292,1660,72,1732,272,3,275,0,0,0,2217,82,2299
JAMMU & KASHMIR,2007,Educational Standard - Illiterate,120,5,125,562,51,613,65,0,65,0,0,0,747,56,803
JAMMU & KASHMIR,2007,Educational Standard - Below Class X,82,2,84,581,15,596,63,0,63,0,0,0,726,17,743
JAMMU & KASHMIR,2007,Educational Standard - Class X and above but below graduate,75,0,75,434,6,440,106,3,109,0,0,0,615,9,624
JAMMU & KASHMIR,2007,Educational Standard - Graduate,5,0,5,73,0,73,36,0,36,0,0,0,114,0,114
JAMMU & KASHMIR,2007,Educational Standard - Post-Graduate,2,0,2,5,0,5,1,0,1,0,0,0,8,0,8
JAMMU & KASHMIR,2007,Educational Standard - Holding technical degree/diploma etc,1,0,1,5,0,5,1,0,1,0,0,0,7,0,7
JAMMU & KASHMIR,2008,Educational Standard,329,9,338,1631,75,1706,265,1,266,0,0,0,2225,85,2310
JAMMU & KASHMIR,2008,Educational Standard - Illiterate,143,9,152,583,54,637,49,1,50,0,0,0,775,64,839
JAMMU & KASHMIR,2008,Educational Standard - Below Class X,140,0,140,640,16,656,127,0,127,0,0,0,907,16,923
JAMMU & KASHMIR,2008,Educational Standard - Class X and above but below graduate,41,0,41,346,4,350,80,0,80,0,0,0,467,4,471
JAMMU & KASHMIR,2008,Educational Standard - Graduate,2,0,2,51,1,52,8,0,8,0,0,0,61,1,62
JAMMU & KASHMIR,2008,Educational Standard - Post-Graduate,1,0,1,9,0,9,1,0,1,0,0,0,11,0,11
JAMMU & KASHMIR,2008,Educational Standard - Holding technical degree/diploma etc,2,0,2,2,0,2,0,0,0,0,0,0,4,0,4
JAMMU & KASHMIR,2009,Educational Standard,346,12,358,1736,85,1821,181,1,182,1,0,1,2264,98,2362
JAMMU & KASHMIR,2009,Educational Standard - Illiterate,126,11,137,443,36,479,50,0,50,0,0,0,619,47,666
JAMMU & KASHMIR,2009,Educational Standard - Below Class X,132,1,133,820,39,859,79,1,80,1,0,1,1032,41,1073
JAMMU & KASHMIR,2009,Educational Standard - Class X and above but below graduate,81,0,81,399,10,409,47,0,47,0,0,0,527,10,537
JAMMU & KASHMIR,2009,Educational Standard - Graduate,7,0,7,70,0,70,5,0,5,0,0,0,82,0,82
JAMMU & KASHMIR,2009,Educational Standard - Post-Graduate,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
JAMMU & KASHMIR,2009,Educational Standard - Holding technical degree/diploma etc,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
JAMMU & KASHMIR,2010,Educational Standard,252,7,259,1823,84,1907,394,15,409,2,0,2,2471,106,2577
JAMMU & KASHMIR,2010,Educational Standard - Illiterate,85,4,89,703,55,758,128,11,139,0,0,0,916,70,986
JAMMU & KASHMIR,2010,Educational Standard - Below Class X,113,3,116,633,25,658,103,3,106,2,0,2,851,31,882
JAMMU & KASHMIR,2010,Educational Standard - Class X and above but below graduate,44,0,44,408,3,411,129,1,130,0,0,0,581,4,585
JAMMU & KASHMIR,2010,Educational Standard - Graduate,7,0,7,69,1,70,29,0,29,0,0,0,105,1,106
JAMMU & KASHMIR,2010,Educational Standard - Post-Graduate,2,0,2,6,0,6,5,0,5,0,0,0,13,0,13
JAMMU & KASHMIR,2010,Educational Standard - Holding technical degree/diploma etc,1,0,1,4,0,4,0,0,0,0,0,0,5,0,5
JAMMU & KASHMIR,2011,Educational Standard,291,10,301,2025,88,2113,234,5,239,10,0,10,2560,103,2663
JAMMU & KASHMIR,2011,Educational Standard - Illiterate,158,2,160,502,36,538,66,5,71,10,0,10,736,43,779
JAMMU & KASHMIR,2011,Educational Standard - Below Class X,76,8,84,791,27,818,91,0,91,0,0,0,958,35,993
JAMMU & KASHMIR,2011,Educational Standard - Class X and above but below graduate,41,0,41,630,24,654,74,0,74,0,0,0,745,24,769
JAMMU & KASHMIR,2011,Educational Standard - Graduate,12,0,12,81,1,82,1,0,1,0,0,0,94,1,95
JAMMU & KASHMIR,2011,Educational Standard - Post-Graduate,2,0,2,19,0,19,2,0,2,0,0,0,23,0,23
JAMMU & KASHMIR,2011,Educational Standard - Holding technical degree/diploma etc,2,0,2,2,0,2,0,0,0,0,0,0,4,0,4
JAMMU & KASHMIR,2012,Educational Standard,376,13,389,1927,80,2007,144,0,144,0,0,0,2447,93,2540
JAMMU & KASHMIR,2012,Educational Standard - Illiterate,107,5,112,610,38,648,62,0,62,0,0,0,779,43,822
JAMMU & KASHMIR,2012,Educational Standard - Below Class X,175,5,180,742,35,777,54,0,54,0,0,0,971,40,1011
JAMMU & KASHMIR,2012,Educational Standard - Class X and above but below graduate,81,3,84,509,6,515,25,0,25,0,0,0,615,9,624
JAMMU & KASHMIR,2012,Educational Standard - Graduate,8,0,8,54,1,55,2,0,2,0,0,0,64,1,65
JAMMU & KASHMIR,2012,Educational Standard - Post-Graduate,3,0,3,9,0,9,1,0,1,0,0,0,13,0,13
JAMMU & KASHMIR,2012,Educational Standard - Holding technical degree/diploma etc,2,0,2,3,0,3,0,0,0,0,0,0,5,0,5
JHARKHAND,2001,Educational Standard,2371,49,2420,13686,392,14078,9,0,9,10,0,10,16076,441,16517
JHARKHAND,2001,Educational Standard - Illiterate,993,32,1025,5497,254,5751,0,0,0,0,0,0,6490,286,6776
JHARKHAND,2001,Educational Standard - Below Class X,718,10,728,4648,120,4768,7,0,7,5,0,5,5378,130,5508
JHARKHAND,2001,Educational Standard - Class X and above but below graduate,385,6,391,2464,12,2476,2,0,2,3,0,3,2854,18,2872
JHARKHAND,2001,Educational Standard - Graduate,145,1,146,877,6,883,0,0,0,2,0,2,1024,7,1031
JHARKHAND,2001,Educational Standard - Post-Graduate,81,0,81,123,0,123,0,0,0,0,0,0,204,0,204
JHARKHAND,2001,Educational Standard - Holding technical degree/diploma etc,49,0,49,77,0,77,0,0,0,0,0,0,126,0,126
JHARKHAND,2002,Educational Standard,2942,71,3013,11689,405,12094,18,0,18,3,0,3,14652,476,15128
JHARKHAND,2002,Educational Standard - Illiterate,1267,41,1308,4702,283,4985,0,0,0,1,0,1,5970,324,6294
JHARKHAND,2002,Educational Standard - Below Class X,860,20,880,4002,97,4099,3,0,3,0,0,0,4865,117,4982
JHARKHAND,2002,Educational Standard - Class X and above but below graduate,402,8,410,2177,23,2200,11,0,11,2,0,2,2592,31,2623
JHARKHAND,2002,Educational Standard - Graduate,249,2,251,470,2,472,4,0,4,0,0,0,723,4,727
JHARKHAND,2002,Educational Standard - Post-Graduate,106,0,106,153,0,153,0,0,0,0,0,0,259,0,259
JHARKHAND,2002,Educational Standard - Holding technical degree/diploma etc,58,0,58,185,0,185,0,0,0,0,0,0,243,0,243
JHARKHAND,2003,Educational Standard,4130,127,4257,11720,414,12134,13,0,13,11,0,11,15874,541,16415
JHARKHAND,2003,Educational Standard - Illiterate,1590,87,1677,4506,280,4786,2,0,2,5,0,5,6103,367,6470
JHARKHAND,2003,Educational Standard - Below Class X,1416,29,1445,3990,115,4105,1,0,1,3,0,3,5410,144,5554
JHARKHAND,2003,Educational Standard - Class X and above but below graduate,693,9,702,2551,16,2567,10,0,10,2,0,2,3256,25,3281
JHARKHAND,2003,Educational Standard - Graduate,255,2,257,453,3,456,0,0,0,1,0,1,709,5,714
JHARKHAND,2003,Educational Standard - Post-Graduate,120,0,120,70,0,70,0,0,0,0,0,0,190,0,190
JHARKHAND,2003,Educational Standard - Holding technical degree/diploma etc,56,0,56,150,0,150,0,0,0,0,0,0,206,0,206
JHARKHAND,2004,Educational Standard,4902,138,5040,11954,493,12447,10,0,10,0,0,0,16866,631,17497
JHARKHAND,2004,Educational Standard - Illiterate,2014,92,2106,4204,337,4541,0,0,0,0,0,0,6218,429,6647
JHARKHAND,2004,Educational Standard - Below Class X,1505,36,1541,4878,133,5011,0,0,0,0,0,0,6383,169,6552
JHARKHAND,2004,Educational Standard - Class X and above but below graduate,859,10,869,1908,18,1926,10,0,10,0,0,0,2777,28,2805
JHARKHAND,2004,Educational Standard - Graduate,390,0,390,660,5,665,0,0,0,0,0,0,1050,5,1055
JHARKHAND,2004,Educational Standard - Post-Graduate,85,0,85,140,0,140,0,0,0,0,0,0,225,0,225
JHARKHAND,2004,Educational Standard - Holding technical degree/diploma etc,49,0,49,164,0,164,0,0,0,0,0,0,213,0,213
JHARKHAND,2005,Educational Standard,5142,152,5294,13393,546,13939,0,0,0,0,0,0,18535,698,19233
JHARKHAND,2005,Educational Standard - Illiterate,1633,81,1714,4737,314,5051,0,0,0,0,0,0,6370,395,6765
JHARKHAND,2005,Educational Standard - Below Class X,1991,62,2053,5265,189,5454,0,0,0,0,0,0,7256,251,7507
JHARKHAND,2005,Educational Standard - Class X and above but below graduate,985,9,994,2459,38,2497,0,0,0,0,0,0,3444,47,3491
JHARKHAND,2005,Educational Standard - Graduate,383,0,383,569,5,574,0,0,0,0,0,0,952,5,957
JHARKHAND,2005,Educational Standard - Post-Graduate,88,0,88,178,0,178,0,0,0,0,0,0,266,0,266
JHARKHAND,2005,Educational Standard - Holding technical degree/diploma etc,62,0,62,185,0,185,0,0,0,0,0,0,247,0,247
JHARKHAND,2006,Educational Standard,7123,246,7369,12806,533,13339,1,0,1,0,0,0,19930,779,20709
